codigo_incap,categoria,alimento,porcion,peso_g,energia_kcal,carbohidratos_g,proteina_g,grasa_g,fibra_g,calcio_mg,hierro_mg,colesterol_mg,sodio_mg,vitamina_c_mg,zinc_mg,pagina_pdf
1001,01. PRODUCTOS LÁCTEOS Y SIMILARES,"CREMA, ESPESA",100 g,100.00,345,2.79,2.05,37.00,0.00,65,0.03,137,38,1,0.23,26
1002,01. PRODUCTOS LÁCTEOS Y SIMILARES,"CREMA, RALA",100 g,100.00,195,3.66,2.70,19.31,0.00,96,0.04,66,40,1,0.27,26
1003,01. PRODUCTOS LÁCTEOS Y SIMILARES,"CREMA, SUSTITUTO NO LÁCTEO, EN POLVO",100 g,100.00,546,54.88,4.79,35.48,0.00,22,1.15,0,181,0,0.51,26
1004,01. PRODUCTOS LÁCTEOS Y SIMILARES,"LECHE DE BURRA, FLUIDA",100 g,100.00,43,6.50,1.70,1.20,,126,0.20,,,2,,26
1005,01. PRODUCTOS LÁCTEOS Y SIMILARES,"LECHE DE CABRA, FLUIDA",100 g,100.00,69,4.45,3.56,4.14,0.00,134,0.05,11,50,1,0.30,26
1008,01. PRODUCTOS LÁCTEOS Y SIMILARES,"LECHE DE VACA, CHOCOLATADA, FLUIDA, BAJA EN GRASA",100 g,100.00,76,12.13,2.99,1.90,0.70,109,0.24,8,66,0,0.39,26
1045,01. PRODUCTOS LÁCTEOS Y SIMILARES,"LECHE DE VACA, CON COCOA, FLUIDA",100 g,100.00,77,10.63,3.52,2.33,1.00,105,0.48,8,44,0,0.63,26
1009,01. PRODUCTOS LÁCTEOS Y SIMILARES,"LECHE DE VACA, CONDENSADA C/AZÚCAR, ENLAT.",100 g,100.00,321,54.40,7.91,8.70,0.00,284,0.19,34,127,3,0.94,26
1012,01. PRODUCTOS LÁCTEOS Y SIMILARES,"LECHE DE VACA, DESCREMADA C/VIT A, EN POLVO",100 g,100.00,362,51.98,36.16,0.77,0.00,1257,0.32,20,535,7,4.08,26
1013,01. PRODUCTOS LÁCTEOS Y SIMILARES,"LECHE DE VACA, DESCREMADA C/VIT A, EN POLVO INSTANTÁNEA",100 g,100.00,358,52.19,35.10,0.72,0.00,1231,0.31,18,549,6,4.41,26
1046,01. PRODUCTOS LÁCTEOS Y SIMILARES,"LECHE DE VACA, DESCREMADA C/VIT A, FLUIDA (1% GRASA)",100 g,100.00,42,4.99,3.37,0.97,0.00,119,0.03,5,44,0,0.42,26
1011,01. PRODUCTOS LÁCTEOS Y SIMILARES,"LECHE DE VACA, DESCREMADA S/VIT A, EN POLVO",100 g,100.00,362,51.98,36.16,0.77,0.00,1257,0.32,20,535,7,4.08,26
1069,01. PRODUCTOS LÁCTEOS Y SIMILARES,"LECHE DE VACA, DESCREMADA, EN POLVO (PL 480)",100 g,100.00,362,51.98,36.16,0.77,0.00,1257,0.32,,535,7,4.08,26
1016,01. PRODUCTOS LÁCTEOS Y SIMILARES,"LECHE DE VACA, ÍNTEGRA, EN POLVO",100 g,100.00,496,38.42,26.32,26.71,0.00,912,0.47,97,371,9,3.34,26
1014,01. PRODUCTOS LÁCTEOS Y SIMILARES,"LECHE DE VACA, ÍNTEGRA, EVAPORADA C/VIT A, ENLAT.",100 g,100.00,134,10.04,6.81,7.56,0.00,261,0.19,29,106,2,0.77,26
1015,01. PRODUCTOS LÁCTEOS Y SIMILARES,"LECHE DE VACA, ÍNTEGRA, FLUIDA (3.25% GRASA)",100 g,100.00,60,4.52,3.22,3.25,0.00,113,0.03,10,40,0,0.40,26
1010,01. PRODUCTOS LÁCTEOS Y SIMILARES,"LECHE DE VACA, SEMIDESCREMADA (2% GRASA), FLUIDA",100 g,100.00,50,4.68,3.30,1.97,0.00,117,0.03,8,41,0,0.43,26
1047,01. PRODUCTOS LÁCTEOS Y SIMILARES,"LECHE DE VACA, SEMIDESCREMADA (2% GRASA), FORTIFICADA, FLUIDA",100 g,100.00,56,5.49,3.95,1.98,0.00,143,0.06,8,59,1,0.45,26
1007,01. PRODUCTOS LÁCTEOS Y SIMILARES,"LECHE HUMANA, FLUIDA",100 g,100.00,45,6.90,1.00,1.50,,32,0.10,4,17,5,0.17,26
1020,01. PRODUCTOS LÁCTEOS Y SIMILARES,"QUESO AMARILLO, PASTRZ & PROCES., PARA UNTAR",100 g,100.00,290,8.73,16.41,21.23,0.00,562,0.33,55,1345,0,2.59,26
1019,01. PRODUCTOS LÁCTEOS Y SIMILARES,"QUESO AMARILLO, PASTRZ & PROCES., RODAJAS",100 g,100.00,375,1.60,22.15,31.25,0.00,552,0.19,94,1489,0,2.84,26
1048,01. PRODUCTOS LÁCTEOS Y SIMILARES,"QUESO AMARILLO, PASTRZ & PROCES., RODAJAS BAJO EN GRASA",100 g,100.00,180,3.50,24.60,7.00,0.00,684,0.43,35,1430,0,3.32,26
1058,01. PRODUCTOS LÁCTEOS Y SIMILARES,"QUESO AMARILLO, PASTRZ & PROCES., RODAJAS C/PIMIENTO",100 g,100.00,375,1.73,22.13,31.20,0.10,614,0.42,94,1428,2,2.98,26
1022,01. PRODUCTOS LÁCTEOS Y SIMILARES,QUESO BLANCO (PANAMÁ),100 g,100.00,276,4.50,17.10,21.30,0.00,643,2.00,72,842,0,2.38,26
1023,01. PRODUCTOS LÁCTEOS Y SIMILARES,"QUESO BLANCO FRESCO, LECHE DE CABRA",100 g,100.00,268,0.89,18.52,21.08,0.00,140,1.90,46,368,0,0.92,27
1031,01. PRODUCTOS LÁCTEOS Y SIMILARES,"QUESO BLANCO FRESCO, LECHE DESCREMADA",100 g,100.00,127,5.40,21.00,1.80,,687,1.80,,,0,,27
1029,01. PRODUCTOS LÁCTEOS Y SIMILARES,"QUESO BLANCO FRESCO, LECHE ÍNTEGRA",100 g,100.00,264,3.30,17.50,20.10,,783,1.30,,,0,,27
1030,01. PRODUCTOS LÁCTEOS Y SIMILARES,"QUESO BLANCO FRESCO, LECHE SEMIDESCREMADA",100 g,100.00,173,1.91,24.35,7.00,0.00,415,0.42,21,612,0,1.82,27
1024,01. PRODUCTOS LÁCTEOS Y SIMILARES,"QUESO COTTAGE, C/CREMA",100 g,100.00,103,2.68,12.49,4.51,0.00,60,0.14,15,405,0,0.37,27
1025,01. PRODUCTOS LÁCTEOS Y SIMILARES,"QUESO COTTAGE, S/CREMA",100 g,100.00,85,1.85,17.27,0.42,0.00,32,0.23,7,13,0,0.47,27
1049,01. PRODUCTOS LÁCTEOS Y SIMILARES,"QUESO COTTAGE, SEMIDESCREMADO (2% GRASA)",100 g,100.00,90,3.63,13.74,1.93,0.00,69,0.16,8,406,0,0.42,27
1026,01. PRODUCTOS LÁCTEOS Y SIMILARES,QUESO CREMA O DE CAPAS,100 g,100.00,349,2.66,7.55,34.87,0.00,80,1.20,110,296,0,0.54,27
1028,01. PRODUCTOS LÁCTEOS Y SIMILARES,"QUESO DURO O SECO, LECHE ÍNTEGRA",100 g,100.00,444,3.70,27.90,35.20,,2274,1.70,68,1602,0,2.75,27
1032,01. PRODUCTOS LÁCTEOS Y SIMILARES,QUESO GOUDA,100 g,100.00,356,2.22,24.94,27.44,0.00,700,0.24,114,819,0,3.90,27
1050,01. PRODUCTOS LÁCTEOS Y SIMILARES,"QUESO MOZARELA, LECHE DESCREMADA",100 g,100.00,254,2.77,24.26,15.92,0.00,782,0.22,64,619,0,2.76,27
1033,01. PRODUCTOS LÁCTEOS Y SIMILARES,"QUESO MOZARELA, LECHE ÍNTEGRA",100 g,100.00,300,2.19,22.17,22.35,0.00,505,0.44,79,627,0,2.92,27
1036,01. PRODUCTOS LÁCTEOS Y SIMILARES,"QUESO OREADO, LECHE DESCREMADA",100 g,100.00,232,4.90,38.20,5.70,,1004,1.80,,,0,,27
1034,01. PRODUCTOS LÁCTEOS Y SIMILARES,"QUESO OREADO, LECHE ÍNTEGRA",100 g,100.00,325,3.10,22.20,24.80,,751,2.00,,,0,,27
1035,01. PRODUCTOS LÁCTEOS Y SIMILARES,"QUESO OREADO, LECHE SEMIDESCREMADA",100 g,100.00,263,7.60,25.40,14.20,,752,2.60,,,0,,27
1044,01. PRODUCTOS LÁCTEOS Y SIMILARES,"QUESO PARMESANO, DURO",100 g,100.00,392,3.22,35.75,25.83,0.00,1184,0.82,68,1602,0,2.75,27
1037,01. PRODUCTOS LÁCTEOS Y SIMILARES,"QUESO PARMESANO, GRATINADO",100 g,100.00,431,4.06,38.46,28.61,0.00,1109,0.90,88,1529,0,3.87,27
1051,01. PRODUCTOS LÁCTEOS Y SIMILARES,QUESO TIPO CAMEMBERT,100 g,100.00,300,0.46,19.80,24.26,0.00,388,0.33,72,842,0,2.38,27
1052,01. PRODUCTOS LÁCTEOS Y SIMILARES,QUESO TIPO CHEDDAR,100 g,100.00,403,1.28,24.90,33.14,0.00,721,0.68,105,621,0,3.11,27
1027,01. PRODUCTOS LÁCTEOS Y SIMILARES,"QUESO TIPO CUAJADA, FRESCO",100 g,100.00,236,5.40,18.70,15.40,,718,1.50,,,0,,27
