id,fuente,grupo,alimento,nombre_ingles,porcion_base,cantidad_base,energia_kcal,proteina_g,grasa_total_g,carbohidratos_g,fibra_g,ags_g,agm_g,agpi_g,colesterol_mg,calcio_mg,fosforo_mg,hierro_mg,potasio_mg,sodio_mg,zinc_mg,vitamina_c_mg,vitamina_a_ug_ere,folatos_ug,vitamina_b12_ug,pagina_pdf
1,1,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Amaranto, grano seco","Amaranth, grain, dry, uncooked",100 g,100,381.07,14.45,6.51,66.17,9.3,1.66,1.43,2.89,0.0,153.0,455.0,7.59,366.0,21.0,3.18,4.0,0.0,49.0,0.0,11
2,2,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Arroz blanco grano largo, cocido","Rice, white, long-grain, unenriched, cooked, with salt",100 g,100,125.96,2.69,0.28,28.17,0.4,0.08,0.09,0.08,0.0,10.0,43.0,0.2,35.0,382.0,0.49,0.0,0.0,3.0,0.0,11
3,2,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Arroz blanco, grano corto","Rice, white, short-grain, unenriched, raw",100 g,100,347.28,6.5,0.52,79.15,,0.14,0.16,0.14,0.0,3.0,95.0,0.8,76.0,1.0,1.1,0.0,,6.0,0.0,11
4,2,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Arroz blanco, grano corto, cocido","Rice, white, short-grain, unenriched, cooked",100 g,100,126.07,2.36,0.19,28.73,,0.05,0.06,0.05,0.0,1.0,33.0,0.2,26.0,0.0,0.4,0.0,,2.0,0.0,11
5,2,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Arroz blanco, grano largo crudo","Rice, white, long-grain, raw, unenriched",100 g,100,354.26,7.13,0.66,79.95,1.3,0.18,0.21,0.18,0.0,28.0,115.0,0.8,115.0,5.0,1.09,0.0,0.0,8.0,0.0,11
6,2,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Arroz blanco, grano largo, parbolizado, cocido","Rice, white, long-grain, parabolized, unenriched, cooked",100 g,100,119.17,2.91,0.37,26.05,0.9,0.07,0.07,0.09,0.0,19.0,55.0,0.24,56.0,2.0,0.37,0.0,,3.0,0.0,11
7,2,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Arroz blanco, grano largo, parbolizado, crudo","Rice, white, long-grain, parabolized, unenriched, dry",100 g,100,362.87,7.51,1.03,80.89,1.8,0.29,0.26,0.32,0.0,71.0,153.0,0.74,174.0,2.0,1.02,0.0,0.0,8.0,0.0,11
8,2,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Arroz blanco, grano medio, cocido","Rice, white, medium-grain, unenriched, cooked",100 g,100,125.77,2.38,0.21,28.59,,0.06,0.07,0.06,0.0,3.0,37.0,0.2,29.0,0.0,0.42,0.0,,2.0,0.0,11
9,2,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Arroz blanco, grano medio, crudo","Rice, white, medium-grain, unenriched, raw",100 g,100,349.02,6.61,0.58,79.34,,0.16,0.18,0.16,0.0,9.0,108.0,0.8,86.0,1.0,1.16,0.0,,9.0,0.0,11
10,1,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Arroz blanco, pulido, enriquecido,precocido","Rice, white, long-grain, precooked, enriched, dry",100 g,100,369.02,7.82,0.94,82.32,1.9,0.15,0.14,0.22,0.0,22.0,118.0,6.3,27.0,10.0,1.43,0.0,0.0,466.0,0.0,11
11,2,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Arroz integral, grano largo cocido","Rice, brown, long-grain, cooked",100 g,100,122.01,2.74,0.97,25.58,1.6,0.26,0.37,0.37,0.0,3.0,103.0,0.56,86.0,4.0,0.71,0.0,0.0,9.0,0.0,11
12,2,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Arroz integral, grano largo crudo","Rice, brown, long-grain, raw",100 g,100,363.96,7.54,3.2,76.25,3.6,0.59,1.05,1.0,0.0,9.0,311.0,1.29,250.0,5.0,2.13,0.0,0.0,23.0,0.0,11
13,2,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Arroz integral, grano medio, cocido","Rice, brown, medium-grain, cooked",100 g,100,110.79,2.32,0.83,23.51,1.8,0.17,0.3,0.3,0.0,10.0,77.0,0.53,79.0,1.0,0.62,0.0,0.0,4.0,0.0,11
14,2,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Arroz integral, grano medio, crudo","Rice, brown, medium-grain, raw",100 g,100,358.8,7.5,2.68,76.17,3.4,0.54,0.97,0.96,0.0,33.0,264.0,1.8,268.0,4.0,2.02,0.0,0.0,20.0,0.0,11
15,2,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Arroz precocido, eriquecido, crudo","Rice, white, long-grain, precooked or instant, enriched, dry",100 g,100,369.02,7.82,0.94,82.32,1.9,0.15,0.14,0.22,0.0,22.0,118.0,6.3,27.0,10.0,1.43,0.0,0.0,275.0,0.0,11
16,2,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Arroz, tipo arrocillo, crudo","Rice, arrocillo type, raw",100 g,100,354.26,7.13,0.66,79.95,1.3,0.18,0.21,0.18,0.0,28.0,115.0,0.8,115.0,5.0,1.09,0.0,0.0,8.0,0.0,11
17,1,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Avena, hojuelas, sin fortificar, Mosh","Oats (flakes), unenriched, Mosh",100 g,100,394.74,16.89,6.9,66.27,10.6,1.22,2.18,2.54,0.0,54.0,523.0,4.72,429.0,2.0,3.97,0.0,0.0,56.0,0.0,11
18,1,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Avena, molida, Quaker","Oats, ground, Quaker",100 g,100,372.9,15.5,6.1,64.0,10.9,1.08,1.92,2.23,0.0,357.0,357.0,28.93,354.0,286.0,3.07,0.0,1072.0,464.0,0.0,11
19,5,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Brazo gitano, relleno de dulce, promedio","Swiss roll, wheat flour, eggs, butter, sweet filling, commercially prepared",100 g,100,231.58,3.99,8.18,35.5,,,,,,18.0,92.0,0.59,67.0,178.0,0.35,,,,,11
20,2,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS",Cebada perlada,"Barley, pearled, raw",100 g,100,360.96,9.91,1.16,77.72,15.6,0.24,0.15,0.56,0.0,29.0,221.0,2.5,280.0,9.0,213.0,0.0,1.0,23.0,0.0,11
21,1,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Cebada, arroz de cebada, cruda","Barley rice, raw",100 g,100,364.54,12.48,2.3,73.48,17.3,0.48,0.29,1.11,0.0,33.0,264.0,3.6,452.0,12.0,2.77,0.0,1.0,19.0,0.0,11
22,1,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Cebada, perlada, grano entero","Barley, hulled, whole grain",100 g,100,364.54,12.48,2.3,73.48,17.3,0.48,0.29,1.11,0.0,33.0,264.0,3.6,452.0,12.0,2.77,0.0,1.0,19.0,0.0,12
23,1,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Cebada, tapioca, perlada, seca","Barley flour, tapioca, pearl,raw",100 g,100,355.7,0.19,0.02,88.69,0.9,0.0,0.0,0.0,0.0,20.0,7.0,1.58,11.0,1.0,0.12,0.0,0.0,4.0,0.0,12
24,1,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Centeno, grano, crudo","Rye, grain, raw",100 g,100,360.58,14.76,2.5,69.76,14.6,0.29,0.3,1.12,0.0,33.0,374.0,2.67,264.0,6.0,3.73,0.0,1.0,60.0,0.0,12
25,7,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Cereal desayuno, amaranto, horneado, Nutrial","Cereal, breakfast, baked amaranth, Nutrial",100 g,100,404.55,13.64,4.55,77.27,,0.0,0.0,0.0,0.0,,,,,68.18,,,,,,12
26,2,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Cereal desayuno, arroz crocante","Cereal, breakfast, crispy rice",100 g,100,391.46,7.32,1.22,87.8,0.0,0.0,,,0.0,0.0,98.0,30.73,98.0,585.0,18.29,14.6,731.7,878.0,8.78,12
27,2,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Cereal desayuno, arroz crocante","Cereal, Breakfast, Kellogg´s, corn pops",100 g,100,389.7,4.8,1.3,89.7,8.4,0.5,0.2,0.5,0.0,7.0,52.0,6.0,113.0,357.0,5.0,20.0,467.0,333.0,5.0,12
28,2,"01. CEREALES, TUBÉRCULOS Y PLÁTANOS","Cereal desayuno, arroz crocante sabor a chocolate","Cereal, breakfast, crispy rice, chocolate flavor",100 g,100,389.97,3.33,3.33,86.67,1.7,0.0,,,0.0,0.0,,6.0,,300.0,5.0,0.0,500.1,,2.0,12
